City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,67,0,3.0,RU,1723123784
180,beypore,11.1833,75.8167,25.58,83,75,3.09,IN,1723123785
181,port elizabeth,-33.918,25.5701,20.61,76,20,4.63,ZA,1723123786
182,klyuchi,52.2667,79.1667,21.28,79,88,2.8,RU,1723123787
183,weno,7.4515,151.8468,28.98,75,5,2.78,FM,1723123788
184,xining,36.6167,101.7667,14.87,88,100,1.3,CN,1723123789
185,kone,-21.0595,164.8658,16.87,89,0,2.11,NC,1723123792
186,saundatti,15.7833,75.1167,24.64,76,100,5.76,IN,1723123793
187,ewo,-0.8725,14.8206,35.28,32,70,3.07,CG,1723123794
188,lebu,-37.6167,-73.65,5.35,87,12,2.75,CL,1723123795
189,gordonvale,-17.0936,145.7842,20.39,100,29,1.81,AU,1723123796
190,waddan,29.1614,16.139,40.66,12,0,1.22,LY,1723123797
191,sitka,57.0531,-135.33,12.94,88,0,0.0,US,1723123798
192,nova sintra,14.8667,-24.7167,25.3,78,63,5.8,CV,1723123800
193,choibalsan,48.0667,114.5,19.32,83,100,1.99,MN,1723123801
194,lamu,-2.2717,40.902,24.12,74,3,6.63,KE,1723123802
195,muynoq,43.7683,59.0214,39.6,19,5,8.64,UZ,1723123803
196,gibara,21.1097,-76.1317,29.62,68,92,1.71,CU,1723123804
197,daru,-9.0763,143.2092,24.28,88,100,6.7,PG,1723123805
198,olonkinbyen,70.9221,-8.7187,4.89,99,100,0.85,SJ,1723123806
199,chonchi,-42.6128,-73.8092,4.51,88,100,0.96,CL,1723123807
200,tete,-16.1564,33.5867,31.05,30,20,4.63,MZ,1723123809
201,uturoa,-16.7333,-151.4333,25.6,84,98,2.06,PF,1723123810
202,grand baie,-20.0182,57.5802,24.26,74,2,1.34,MU,1723123811
203,hamina,60.5697,27.1979,24.07,62,46,2.88,FI,1723123812
204,crane,31.3974,-102.3501,31.27,24,0,0.54,US,1723123813
205,miri,4.4148,114.0089,27.08,89,40,0.0,MY,1723123814
206,bandarbeyla,9.4942,50.8122,26.47,74,78,13.18,SO,1723123815
207,kruisfontein,-34.0033,24.7314,19.38,65,2,5.01,ZA,1723123816
208,hawera,-39.5917,174.2833,9.57,96,91,3.17,NZ,1723123817
209,mammoth lakes,37.6485,-118.9721,17.41,42,0,2.24,US,1723123818
210,college,64.8569,-147.8028,17.72,80,75,0.0,US,1723123820
211,sao jose da coroa grande,-8.8978,-35.1478,25.23,78,28,5.47,BR,1723123821
212,kailua-kona,19.6406,-155.9956,26.44,81,100,0.0,US,1723123822
213,at taraf,25.3628,49.725,47.3,15,35,8.15,SA,1723123823
214,udachny,66.4167,112.4,12.34,85,98,4.95,RU,1723123824
215,dukku,10.8231,10.7717,28.99,63,70,2.92,NG,1723123825
216,susuman,62.7833,148.1667,9.41,84,100,1.57,RU,1723123826
217,puerto deseado,-47.7503,-65.8938,5.09,68,100,9.74,AR,1723123827
218,robore,-18.3333,-59.75,16.05,100,100,0.0,BO,1723123828
219,opuwo,-18.0607,13.84,31.55,10,0,5.75,NA,1723123830
220,conception bay south,47.4999,-52.9981,22.18,66,20,5.14,CA,1723123831
221,shubarshi,48.5872,57.1869,24.59,46,96,3.39,KZ,1723123832
222,jumla,29.2747,82.1838,15.96,96,83,1.23,NP,1723123833
223,alaghsas,17.0187,8.0168,33.94,49,75,5.14,NE,1723123834
224,wucheng,29.6008,118.175,24.49,89,81,0.75,CN,1723123835
225,arraial do cabo,-22.9661,-42.0278,31.98,39,0,2.57,BR,1723123837
226,touros,-5.1989,-35.4608,28.08,54,2,7.67,BR,1723123838
227,ndola,-12.9587,28.6366,29.07,12,8,2.98,ZM,1723123839
228,namibe,-15.1961,12.1522,19.66,69,11,7.56,AO,1723123840
229,san antonio de pale,-1.4014,5.6325,22.86,78,100,4.34,GQ,1723123841
230,al bawiti,28.3492,28.8659,38.77,15,4,4.69,EG,1723123845
231,loen,7.7601,168.2307,28.4,78,33,6.84,MH,1723123846
232,churapcha,62.0025,132.4325,11.77,78,60,1.15,RU,1723123847
233,paita,-5.0892,-81.1144,18.82,74,5,6.0,PE,1723123849
234,praia da vitoria,38.7333,-27.0667,26.53,78,20,2.13,PT,1723123850
235,arroio grande,-32.2375,-53.0869,12.75,63,53,5.01,BR,1723123851
236,ras el aioun,35.6738,5.6453,35.85,18,0,4.77,DZ,1723123852
237,wad az zaki,14.4619,32.2065,29.93,58,98,8.56,SD,1723123853
238,taroa,8.7058,171.2275,27.63,79,32,4.86,MH,1723123854
239,utrik,11.2278,169.8474,28.23,77,25,7.37,MH,1723123856
240,vilyuysk,63.7553,121.6247,13.7,59,7,1.46,RU,1723123857
241,padang,-0.9492,100.3543,29.03,87,32,2.78,ID,1723123859
242,mutoko,-17.397,32.2268,25.89,22,1,3.72,ZW,1723123860
243,port lincoln,-34.7333,135.8667,11.78,80,100,2.16,AU,1723123861
244,keflavik,64.0049,-22.5624,11.95,87,100,1.03,IS,1723123862
245,lazaro cardenas,17.9583,-102.2,27.47,81,60,2.1,MX,1723123863
246,kununurra,-15.7667,128.7333,19.99,64,68,0.0,AU,1723123864
247,cabo san lucas,22.8909,-109.9124,28.75,67,0,10.29,MX,1723123780
248,enewetak,11.3474,162.3373,28.59,78,41,6.46,MH,1723123866
249,fort st. john,56.2499,-120.8529,11.94,87,0,3.09,CA,1723123861
250,xai-xai,-25.0519,33.6442,29.55,34,0,3.82,MZ,1723123869
251,cooper's town,26.8667,-77.5167,28.76,79,29,6.87,BS,1723123870
252,nadym,65.5333,72.5167,12.34,61,58,5.96,RU,1723123871
253,abepura,-2.6333,140.5833,24.45,100,20,1.03,ID,1723123873
254,polyarnyy,69.1989,33.4478,20.71,39,98,3.52,RU,1723123874
255,vanimo,-2.6741,141.3028,25.66,92,28,2.45,PG,1723123875
256,kotlas,61.2611,46.6556,15.02,90,100,0.6,RU,1723123877
257,northam,51.0333,-4.2167,20.92,97,100,8.83,GB,1723123878
258,rosarito,32.3333,-117.0333,18.55,79,4,1.43,MX,1723123880
259,tura,25.5198,90.2201,23.95,98,97,2.59,IN,1723123881
260,vilhena,-12.7406,-60.1458,29.12,45,0,4.63,BR,1723123882
261,sabang,5.8933,95.3214,28.88,77,100,1.89,ID,1723123884
262,chifeng,42.2683,118.9636,24.13,67,74,1.97,CN,1723123885
263,laguna,38.421,-121.4238,21.36,61,0,3.09,US,1723123886
264,egilsstadir,65.2653,-14.3948,9.95,81,100,1.54,IS,1723123887
265,lihue,21.9789,-159.3672,24.58,82,20,5.14,US,1723123888
266,leer,53.2316,7.461,23.97,69,92,3.8,DE,1723123890
267,kalundborg,55.6795,11.0886,22.19,71,51,6.14,DK,1723123892
268,aiquile,-18.2041,-65.1807,15.89,58,20,1.82,BO,1723123893
269,dudinka,69.4058,86.1778,14.66,51,0,7.24,RU,1723123894
270,porto murtinho,-21.6989,-57.8825,14.92,89,100,3.56,BR,1723123895
271,margate,51.3813,1.3862,22.71,61,63,1.34,GB,1723123896
272,savanna-la-mar,18.219,-78.1332,31.07,72,99,1.74,JM,1723123897
273,ranchettes,41.2186,-104.7903,12.91,99,100,5.14,US,1723123899
274,behompy,-23.2496,43.8557,24.45,60,0,3.87,MG,1723123900
275,lagos,6.5833,3.75,26.18,55,72,4.68,NG,1723123669
276,elesbao veloso,-6.2019,-42.1403,34.35,25,8,2.88,BR,1723123902
277,douz,33.4663,9.0203,38.92,20,0,4.2,TN,1723123903
278,hastings,50.8552,0.5729,21.85,75,59,8.23,GB,1723123904
279,puerto leguizamo,-0.1934,-74.7819,24.52,81,78,0.77,CO,1723123905
280,la sarre,48.8002,-79.1996,16.14,64,100,3.42,CA,1723123811
281,santa rosa de lima,13.6247,-87.8936,25.08,84,100,1.0,SV,1723123908
282,ben lomond,37.0891,-122.0863,16.12,91,0,0.14,US,1723123909
283,ebon,4.582,168.6964,27.84,75,99,2.73,MH,1723123910
284,saint-francois,46.4154,3.9054,25.92,44,0,2.06,FR,1723123911
285,cidreira,-30.1811,-50.2056,14.92,86,97,3.09,BR,1723123912
286,katoomba,-33.7198,150.3074,3.93,84,100,1.72,AU,1723123913
287,mbandaka,0.0487,18.2603,30.38,44,90,0.25,CD,1723123914
288,nyurba,63.2842,118.3319,14.81,59,14,1.87,RU,1723123915
289,paraiso,9.8383,-83.8656,20.05,91,100,0.72,CR,1723123917
290,drayton valley,53.2168,-114.9854,11.09,84,14,1.66,CA,1723123918
291,mariental,-24.6333,17.9667,28.08,12,0,13.74,NA,1723123919
292,nagqu,31.5,92.0,6.07,94,100,1.16,CN,1723123920
293,slave lake,55.2834,-114.769,9.99,100,75,3.09,CA,1723123921
294,along,28.1667,94.7667,22.19,99,95,0.57,IN,1723123922
295,al kharijah,25.4514,30.5464,42.06,13,7,0.77,EG,1723123923
296,khandyga,62.6667,135.6,11.68,84,7,0.61,RU,1723123924
297,jutai,-5.1833,-68.9,31.72,45,0,0.36,BR,1723124267
298,kirakira,-10.4544,161.9205,25.52,88,100,4.12,SB,1723124267
299,paradip garh,20.3167,86.6167,28.44,82,86,5.42,IN,1723124267
300,fisterra,42.9049,-9.2629,29.61,81,0,11.89,ES,1723124267
301,san luis de la loma,17.2706,-100.8939,27.4,76,81,1.58,MX,1723124268
302,ambert,45.55,3.75,26.05,28,47,1.86,FR,1723124268
303,rio de janeiro,-22.9028,-43.2075,30.12,42,0,1.54,BR,1723124048
304,flying fish cove,-10.4217,105.6791,24.82,88,100,7.72,CX,1723124268
305,gadzhiyevo,69.2551,33.3362,21.33,39,100,3.44,RU,1723124268
306,shetpe,44.1667,52.1167,29.86,34,0,7.58,KZ,1723124268
307,gemena,3.25,19.7667,33.79,37,98,2.24,CD,1723124268
308,talodi,10.6325,30.3797,26.46,77,98,3.69,SD,1723124268
309,pacific grove,36.6177,-121.9166,13.26,96,100,2.68,US,1723124268
310,mae hong son,19.3003,97.9685,23.56,99,17,0.97,TH,1723124268
311,arkhangel'sk,64.5401,40.5433,24.06,46,40,5.0,RU,1723124269
312,gisborne,-38.6533,178.0042,9.96,95,100,1.37,NZ,1723124269
313,itamaraca,-7.7478,-34.8256,27.03,64,25,4.9,BR,1723124269
314,masjed soleyman,31.9364,49.3039,47.26,7,0,4.23,IR,1723124269
315,jiayuguan,39.8167,98.3,19.25,56,87,5.55,CN,1723124269
316,south cleveland,35.1412,-84.8722,27.92,86,0,2.57,US,1723124269
317,madimba,-10.4,40.3333,30.62,51,40,5.14,TZ,1723124269
318,ust-tsilma,65.441,52.1498,22.56,37,2,2.04,RU,1723124269
319,lae,-6.7221,146.9847,21.58,93,58,2.8,PG,1723124269
320,camarinas,43.1311,-9.1817,26.77,77,0,8.4,ES,1723124270
321,cadale,2.7603,46.3222,26.03,73,65,8.88,SO,1723124270
322,avanigadda,16.0215,80.9181,29.41,74,92,2.36,IN,1723124270
323,douglas,41.3,-96.167,19.9,86,100,7.72,US,1723124189
324,kilindoni,-7.9139,39.6668,25.7,71,14,6.55,TZ,1723124270
325,puerto santa,-8.9906,-78.6456,17.41,81,93,3.88,PE,1723124270
326,walvis bay,-22.9575,14.5053,16.53,63,75,0.0,NA,1723124270
327,george town,5.4112,100.3354,29.97,58,20,3.6,MY,1723124270
328,kattivakkam,13.2167,80.3167,29.54,85,27,3.0,IN,1723124270
329,coxen hole,16.3244,-86.5366,27.6,83,20,2.06,HN,1723124270
330,beaufort,5.3473,115.7455,24.18,96,100,0.99,MY,1723124271
331,buala,-8.145,159.5921,24.95,92,100,1.38,SB,1723124271
332,fortuna,40.5982,-124.1573,12.74,94,82,0.89,US,1723124271
333,ad dilam,23.9915,47.1627,45.23,6,16,6.48,SA,1723124271
334,island harbour,50.724,-1.2758,18.42,77,100,4.02,GB,1723124271
335,kaka,37.3482,59.6143,40.59,9,5,5.16,TM,1723124271
336,chokwe,-24.5333,32.9833,31.08,24,0,4.54,MZ,1723124271
337,imperatriz,-5.5264,-47.4917,32.03,45,0,1.03,BR,1723124271
338,oranjemund,-28.55,16.4333,16.75,61,80,7.95,NA,1723124271
339,mokhsogollokh,61.4681,128.9203,11.95,69,100,0.36,RU,1723124271
340,camapua,-19.5314,-54.0439,27.7,27,99,2.86,BR,1723124272
341,livorno,43.2333,10.5833,29.68,57,4,3.08,IT,1723124272
342,itoman,26.1247,127.6694,30.01,81,20,2.06,JP,1723124272
343,isangel,-19.55,169.2667,20.9,81,88,4.27,VU,1723123978
344,gornyak,50.9942,81.4661,22.43,68,94,1.83,RU,1723124272
345,codrington,-38.2667,141.9667,11.23,85,74,5.21,AU,1723124272
346,mossel bay,-34.1831,22.146,16.96,74,3,2.88,ZA,1723124272
347,prado,-17.3411,-39.2208,25.52,55,1,3.78,BR,1723124272
348,orchard homes,46.8633,-114.0484,16.08,69,0,4.12,US,1723124273
349,margherita,27.2833,95.6833,24.89,98,70,1.03,IN,1723124273
350,'alaqahdari dishu,30.4374,63.313,41.72,7,0,3.51,AF,1723123986
351,baie-comeau,49.2168,-68.1489,17.82,59,40,2.06,CA,1723124249
352,arish,31.1316,33.7984,33.1,55,0,3.09,EG,1723124273
353,klamath falls,42.2249,-121.7817,11.7,72,0,0.0,US,1723124273
354,coruripe,-10.1256,-36.1756,24.61,81,63,5.04,BR,1723124273
355,mukalla,14.5425,49.1242,34.48,48,20,10.43,YE,1723124274
356,aasiaat,68.7098,-52.8699,3.47,90,100,4.07,GL,1723124274
357,bodaybo,57.8506,114.1933,17.74,84,84,2.13,RU,1723124274
358,port saint john's,-31.6229,29.5448,28.73,37,0,7.17,ZA,1723124274
